Event Clearance Description,Event Clearance Date,Hundred Block Location,Longitude,Latitude,Incident Location
"VICE, OTHER",04/16/2015 08:03:00 PM,N 97 ST / AURORA AV N,-122.344632324,47.699617846,"(47.699617846, -122.344632324)"
PROSTITUTION,04/16/2015 03:48:00 PM,71XX BLOCK OF RAINIER AV S,-122.270653333,47.538591939,"(47.538591939, -122.270653333)"
LIQUOR VIOLATIONS (BUSINESS),04/15/2015 07:23:00 AM,10XX BLOCK OF E PIKE ST,-122.318793871,47.614089799,"(47.614089799, -122.318793871)"
PROSTITUTION,04/11/2015 06:18:00 PM,93XX BLOCK OF AURORA AV N,-122.344595107,47.696722099,"(47.696722099, -122.344595107)"
PROSTITUTION,04/11/2015 05:51:00 PM,N 125 ST / AURORA AV N,-122.344940802,47.719570094,"(47.719570094, -122.344940802)"
"VICE, OTHER",04/11/2015 05:48:00 PM,N 90 ST / AURORA AV N,-122.344567659,47.694184039,"(47.694184039, -122.344567659)"
"VICE, OTHER",04/11/2015 02:23:00 PM,96XX BLOCK OF 27 AV NW,-122.392319762,47.698986402,"(47.698986402, -122.392319762)"
PROSTITUTION,04/10/2015 11:30:00 PM,135XX BLOCK OF AURORA AV N,-122.345027033,47.727768616,"(47.727768616, -122.345027033)"
PROSTITUTION,04/10/2015 10:42:00 PM,N 135 ST / AURORA AV N,-122.345018864,47.726857313,"(47.726857313, -122.345018864)"
PROSTITUTION,04/10/2015 10:02:00 PM,N 135 ST / AURORA AV N,-122.345018864,47.726857313,"(47.726857313, -122.345018864)"
PROSTITUTION,04/10/2015 09:43:00 PM,135XX BLOCK OF AURORA AV N,-122.345027033,47.727768616,"(47.727768616, -122.345027033)"
PROSTITUTION,04/10/2015 09:14:00 PM,N 135 ST / AURORA AV N,-122.345018864,47.726857313,"(47.726857313, -122.345018864)"
PROSTITUTION,04/10/2015 08:49:00 PM,135XX BLOCK OF AURORA AV N,-122.345027033,47.727768616,"(47.727768616, -122.345027033)"
PROSTITUTION,04/10/2015 08:36:00 PM,N 125 ST / AURORA AV N,-122.344940802,47.719570094,"(47.719570094, -122.344940802)"
PROSTITUTION,04/10/2015 08:33:00 PM,135XX BLOCK OF AURORA AV N,-122.345027033,47.727768616,"(47.727768616, -122.345027033)"
PROSTITUTION,04/10/2015 07:36:00 PM,N 95 ST / AURORA AV N,-122.344608114,47.69780844,"(47.69780844, -122.344608114)"
PROSTITUTION,04/10/2015 05:43:00 PM,AURORA AV N / N 93 ST,-122.344594351,47.6963581,"(47.6963581, -122.344594351)"
PROSTITUTION,04/09/2015 08:27:00 PM,85XX BLOCK OF AURORA AV N,-122.344526222,47.690924885,"(47.690924885, -122.344526222)"
SUSPICIOUS PERSON,04/07/2015 07:01:00 PM,N 88 ST / AURORA AV N,-122.344549919,47.692736493,"(47.692736493, -122.344549919)"
PROSTITUTION,04/06/2015 08:26:00 PM,35 AV SW / SW AVALON WY,-122.376192058,47.564075586,"(47.564075586, -122.376192058)"
PROSTITUTION,04/05/2015 03:00:00 PM,48 AV S / S MYRTLE ST,-122.272644151,47.538902367,"(47.538902367, -122.272644151)"
SUSPICIOUS PERSON,04/04/2015 04:20:00 PM,17XX BLOCK OF S JACKSON ST,-122.309620031,47.599235386,"(47.599235386, -122.309620031)"
PROSTITUTION,04/02/2015 01:06:00 PM,N 102 ST / AURORA AV N,-122.344670302,47.702877591,"(47.702877591, -122.344670302)"
PROSTITUTION,04/02/2015 12:43:00 PM,N 127 ST / AURORA AV N,-122.344957229,47.721390569,"(47.721390569, -122.344957229)"
PROSTITUTION,04/02/2015 12:34:00 PM,117XX BLOCK OF AURORA AV N,-122.344896099,47.717174472,"(47.717174472, -122.344896099)"
PROSTITUTION,04/02/2015 12:31:00 PM,120XX BLOCK OF AURORA AV N,-122.344896099,47.717174472,"(47.717174472, -122.344896099)"
PROSTITUTION,04/02/2015 12:30:00 PM,N 105 ST / AURORA AV N,-122.344696923,47.70504891,"(47.70504891, -122.344696923)"
PROSTITUTION,03/31/2015 04:46:00 AM,N 85 ST / AURORA AV N,-122.34452323,47.690562432,"(47.690562432, -122.34452323)"
MISDEMEANOR WARRANT SERVICE,03/28/2015 01:53:00 AM,88XX BLOCK OF AURORA AV N,-122.344552058,47.693099258,"(47.693099258, -122.344552058)"
PROSTITUTION,03/27/2015 10:11:00 AM,90XX BLOCK OF AURORA AV N,-122.344569274,47.694547964,"(47.694547964, -122.344569274)"
SUSPICIOUS VEHICLE,03/25/2015 08:21:00 PM,MARTIN LUTHER KING JR WY S / S BRANDON ST,-122.289235439,47.553453836,"(47.553453836, -122.289235439)"
PROSTITUTION,03/25/2015 05:15:00 PM,AURORA AV N / N 48 ST,-122.347327002,47.663582185,"(47.663582185, -122.347327002)"
SUSPICIOUS VEHICLE,03/25/2015 02:37:00 AM,EVANSTON AV N / N 95 ST,-122.351257604,47.697827018,"(47.697827018, -122.351257604)"
PROSTITUTION,03/20/2015 10:47:00 AM,STEWART ST / YALE AV,-122.331003303,47.618272451,"(47.618272451, -122.331003303)"
SUSPICIOUS PERSON,03/14/2015 03:35:00 PM,AURORA AV N / N 90 ST,-122.344567659,47.694184039,"(47.694184039, -122.344567659)"
"VICE, OTHER",03/13/2015 09:03:00 PM,77XX BLOCK OF 15 AV NW,-122.376789694,47.685968208,"(47.685968208, -122.376789694)"
